dogid,BreedGroup,Sex,WeightKG,WeightKGCat,AgeAtEvalYRS,AgeAtEvalYrsCat,isneutered,neuterageYrs,NeuterAgeCat,neuteredwhy,whereacquired,AgeAcquiredYRS,AgeAcquiredYRSCat,HealthProblems,roles,firstowned,ownedamount,aschild,otherdogs,otherdogsage,Fear43,Fear47,NonSocFear,TouchSen
4081,Hounds,0,13.50,.00,4.00,2.00,1,0.50,.00,7,1,0.25,.00,0,2,0,0,0,0,0,4,2,2.17,2.25
4084,Non-Sporting,1,18.90,.00,9.02,2.00,1,5.00,3.00,1,1,0.15,.00,0,0,0,2,1,1,3,1,1,1.20,0.50
4085,Non-Sporting,1,23.40,1.00,13.04,2.00,1,4.00,3.00,0,1,0.15,.00,1,0,0,1,1,1,6,0,0,0.50,1.25
4089,Working,0,24.75,1.00,8.02,2.00,1,0.67,1.00,7,5,0.67,1.00,1,3,0,0,0,1,6,1,0,0.00,0.25
4090,Working,0,12.15,.00,1.65,1.00,1,1.00,1.00,7,5,1.17,1.00,0,2,0,0,0,1,1,1,1,0.33,1.75
4094,Utility,1,22.50,1.00,11.02,2.00,1,1.25,2.00,5,1,0.17,.00,1,0,0,0,1,1,3,1,2,0.83,0.50
4095,Non-Sporting,1,22.95,1.00,10.02,2.00,0,0.00,.00,3,0,0.02,.00,0,0,0,3,1,1,4,0,1,1.20,0.00
4096,Working,0,22.50,1.00,6.00,2.00,1,0.50,.00,0,2,0.23,.00,0,2,0,2,1,1,1,1,2,1.60,1.25
4097,Gundogs,0,42.75,1.00,0.83,1.00,1,0.50,.00,0,1,0.12,.00,1,2,0,2,1,1,6,0,0,0.00,0.00
4098,Non-Sporting,0,56.25,1.00,4.02,2.00,1,0.81,1.00,7,5,0.92,1.00,0,2,0,1,1,1,1,1,0,0.33,0.75
4099,Mixed Breed/Unknown,1,27.00,1.00,2.00,1.00,1,0.25,.00,0,3,0.10,.00,0,2,0,0,1,0,0,4,4,2.00,3.00
4100,Gundogs,0,24.75,1.00,8.02,2.00,1,1.50,2.00,7,5,1.50,1.00,1,2,0,2,1,1,3,0,0,0.50,0.00
4101,Gundogs,0,28.80,1.00,13.04,2.00,1,6.00,3.00,0,5,7.00,2.00,1,2,0,2,1,1,7,1,0,0.67,0.25
4102,Gundogs,0,36.00,1.00,2.00,1.00,1,1.00,1.00,0,5,0.83,1.00,0,2,0,2,1,1,1,0,2,0.67,0.50
4103,Non-Sporting,0,3.60,.00,7.02,2.00,1,3.00,3.00,1,2,3.00,1.00,0,3,0,0,1,0,0,1,1,1.33,0.50
4104,Mixed Breed/Unknown,1,22.50,1.00,4.00,2.00,1,0.23,.00,7,5,0.10,.00,0,2,0,0,0,0,0,1,1,0.83,0.50
4105,Utility,0,32.85,1.00,8.02,2.00,1,1.50,2.00,7,5,1.50,1.00,1,3,0,2,1,1,3,3,1,0.33,1.50
4106,Mixed Breed/Unknown,1,29.25,1.00,4.00,2.00,1,0.15,.00,7,5,0.08,.00,0,3,0,2,1,1,1,0,0,0.17,0.50
4107,Non-Sporting,0,4.05,.00,10.02,2.00,1,1.37,2.00,1,2,6.98,2.00,1,2,0,2,1,1,6,2,0,0.17,1.25
4108,Mixed Breed/Unknown,1,18.00,.00,9.02,2.00,1,0.42,.00,0,5,0.29,.00,0,2,0,1,1,0,0,2,2,1.50,1.00
4113,Gundogs,0,18.00,.00,7.52,2.00,1,0.83,1.00,8,5,0.29,.00,0,3,0,2,0,1,4,2,0,0.67,0.50
4115,Working,1,14.40,.00,7.02,2.00,1,1.33,2.00,7,5,0.67,1.00,1,3,0,2,0,1,4,0,0,0.83,0.00
4116,Mixed Breed/Unknown,0,9.90,.00,4.35,2.00,1,0.67,1.00,7,5,0.83,1.00,1,3,0,3,0,1,3,0,0,0.17,0.00
4117,Mixed Breed/Unknown,1,9.90,.00,5.35,2.00,1,1.17,2.00,7,5,0.83,1.00,0,3,0,2,0,1,3,4,0,1.00,1.00
4120,Mixed Breed/Unknown,0,33.75,1.00,8.02,2.00,1,16.00,3.00,7,5,16.00,2.00,1,2,0,2,0,1,4,1,1,0.60,0.50
4121,Mixed Breed/Unknown,0,31.50,1.00,4.00,2.00,1,0.13,.00,7,5,0.13,.00,0,2,0,0,0,0,0,2,0,1.00,1.00
4122,Gundogs,0,39.60,1.00,3.50,2.00,1,3.00,3.00,1,1,0.12,.00,0,3,0,0,1,1,1,1,0,0.00,0.50
4127,Utility,1,20.25,.00,4.00,2.00,1,2.00,3.00,7,5,2.00,1.00,0,2,0,1,1,1,1,2,1,0.50,1.00
4128,Working,0,17.10,.00,7.02,2.00,1,0.31,.00,4,5,0.31,.00,0,2,1,4,0,1,6,1,0,1.17,1.00
4129,Working,0,33.75,1.00,4.00,2.00,1,0.92,1.00,0,3,0.92,1.00,0,2,0,3,1,1,1,0,4,2.00,0.00
4130,Mixed Breed/Unknown,1,22.50,1.00,2.00,1.00,1,0.15,.00,7,5,0.15,.00,1,2,1,4,1,0,0,2,2,2.00,0.75
4132,Mixed Breed/Unknown,1,14.85,.00,3.10,2.00,1,0.75,1.00,7,5,0.15,.00,0,2,0,0,1,0,0,2,2,2.67,1.00
4134,Gundogs,0,24.75,1.00,2.00,1.00,1,1.08,2.00,1,1,0.50,.00,0,2,0,3,1,1,1,2,1,1.00,0.50
4135,Gundogs,0,26.10,1.00,5.00,2.00,1,0.00,.00,3,5,1.00,1.00,0,2,0,0,1,0,0,2,1,0.33,0.50
4136,Mixed Breed/Unknown,1,14.40,.00,12.02,2.00,1,2.00,3.00,0,2,0.15,.00,0,3,0,2,1,1,6,1,0,0.17,1.00
4137,Mixed Breed/Unknown,0,22.50,1.00,5.00,2.00,1,1.00,1.00,0,5,1.00,1.00,0,2,0,3,1,1,3,3,2,2.33,0.75
4138,Toys,0,2.70,.00,4.00,2.00,1,0.67,1.00,5,1,0.33,.00,0,2,1,4,1,1,1,4,2,1.00,3.25
4139,Non-Sporting,0,22.50,1.00,10.02,2.00,1,0.31,.00,0,1,0.15,.00,0,2,0,1,1,0,0,2,1,0.50,1.25
4141,Mixed Breed/Unknown,1,23.40,1.00,8.02,2.00,1,2.00,3.00,7,5,2.00,1.00,0,2,0,0,1,1,6,1,0,0.33,0.33
4142,Toys,0,2.70,.00,1.00,1.00,1,0.83,1.00,2,2,0.25,.00,0,2,0,0,1,0,0,1,1,0.83,0.50
4143,Working,0,13.50,.00,2.00,1.00,1,1.83,3.00,0,1,0.17,.00,1,3,0,2,1,1,1,2,0,0.83,0.75
4146,Mixed Breed/Unknown,1,20.25,.00,7.02,2.00,1,0.23,.00,0,2,0.15,.00,0,2,0,1,1,0,0,0,0,0.17,0.75
4147,Mixed Breed/Unknown,1,20.25,.00,7.02,2.00,1,0.15,.00,7,5,0.19,.00,0,3,0,1,1,1,6,2,3,2.50,1.75
4154,Non-Sporting,0,5.85,.00,2.00,1.00,1,1.83,3.00,5,1,0.17,.00,1,2,0,0,0,1,1,1,1,0.50,0.25
4158,Mixed Breed/Unknown,1,23.85,1.00,1.83,1.00,1,0.50,.00,0,5,0.23,.00,0,2,1,4,1,1,1,0,1,1.17,0.00
4159,Hounds,0,31.95,1.00,10.02,2.00,1,7.50,3.00,7,5,7.50,2.00,0,3,0,1,1,0,0,2,2,1.83,0.67
4161,Mixed Breed/Unknown,0,28.80,1.00,8.02,2.00,1,0.67,1.00,7,3,0.75,1.00,1,3,1,4,1,1,6,0,0,0.00,0.25
4162,Working,1,38.25,1.00,6.00,2.00,1,0.15,.00,7,5,0.25,.00,1,2,0,0,1,1,3,1,1,1.33,1.25
4163,Working,1,32.40,1.00,2.00,1.00,1,0.58,1.00,7,1,0.13,.00,0,3,0,0,1,1,2,0,1,0.67,0.00
4164,Gundogs,0,32.85,1.00,2.00,1.00,1,1.17,2.00,0,2,0.13,.00,0,3,0,1,1,1,2,0,1,0.17,0.00
4165,Mixed Breed/Unknown,0,38.25,1.00,11.02,2.00,1,1.00,1.00,7,5,1.00,1.00,0,2,1,4,0,0,0,2,3,2.00,2.00
4166,Toys,0,4.05,.00,7.02,2.00,1,0.67,1.00,6,4,0.50,.00,1,2,1,4,1,0,0,1,0,1.33,0.25
4167,Mixed Breed/Unknown,0,31.50,1.00,6.52,2.00,1,0.42,.00,0,2,0.15,.00,0,2,0,2,1,0,0,2,1,0.67,1.00
4169,Working,1,18.00,.00,5.00,2.00,1,0.83,1.00,0,5,0.33,.00,0,3,1,4,1,1,6,2,1,1.67,1.50
4170,Gundogs,0,20.25,.00,4.00,2.00,1,0.31,.00,0,5,0.13,.00,0,2,0,0,1,1,1,3,2,2.17,0.75
4171,Mixed Breed/Unknown,0,4.05,.00,6.00,2.00,1,0.00,.00,8,5,5.83,2.00,1,2,0,1,1,0,0,0,1,1.60,0.75
4172,Mixed Breed/Unknown,1,28.80,1.00,14.04,2.00,1,2.00,3.00,0,3,1.00,1.00,0,2,1,4,1,1,6,0,0,0.50,0.00
4176,Gundogs,1,28.35,1.00,7.02,2.00,1,0.58,1.00,8,1,0.15,.00,1,2,0,1,1,0,0,0,0,0.67,0.00
4177,Gundogs,0,33.75,1.00,7.02,2.00,1,1.00,1.00,7,5,1.00,1.00,0,2,0,0,1,0,0,3,3,1.50,0.75
4181,Working,0,22.95,1.00,1.00,1.00,1,0.50,.00,8,5,0.83,1.00,1,2,0,0,1,0,0,3,2,2.33,0.75
4183,Working,0,26.10,1.00,0.90,1.00,1,0.83,1.00,0,6,0.75,1.00,0,2,0,0,1,0,0,1,2,1.20,1.33
4184,Gundogs,0,29.25,1.00,2.00,1.00,1,0.15,.00,1,1,0.40,.00,0,2,0,1,0,1,2,0,0,0.17,0.25
4185,Working,0,20.25,.00,1.00,1.00,1,0.23,.00,7,6,0.23,.00,0,2,0,1,1,1,1,0,0,0.00,0.00
4188,Toys,0,14.40,.00,4.50,2.00,1,0.58,1.00,6,3,0.33,.00,1,2,1,4,1,0,0,2,0,0.00,1.00
4189,Mixed Breed/Unknown,1,20.25,.00,3.00,1.00,1,0.15,.00,0,5,0.15,.00,0,2,0,1,0,0,0,2,2,2.00,1.25
4190,Non-Sporting,1,20.25,.00,3.00,1.00,1,2.00,3.00,7,5,2.00,1.00,0,2,0,2,1,1,1,1,1,0.83,0.25
4192,Gundogs,0,38.25,1.00,8.02,2.00,0,0.00,.00,3,0,0.00,.00,0,1,0,3,1,1,4,0,1,0.20,0.25
4193,Gundogs,1,27.90,1.00,0.75,1.00,1,0.75,1.00,0,1,0.15,.00,0,2,0,0,1,0,0,2,1,1.00,1.00
4194,Working,0,24.75,1.00,0.83,1.00,0,0.00,.00,3,6,0.23,.00,0,4,0,3,0,1,1,0,0,0.00,0.25
4198,Gundogs,0,31.50,1.00,8.02,2.00,1,3.00,3.00,1,1,0.12,.00,1,3,0,2,0,1,6,0,2,1.00,0.00
4199,Gundogs,1,40.50,1.00,5.00,2.00,1,0.31,.00,0,1,0.13,.00,1,1,0,1,1,1,6,1,1,0.33,0.75
4202,Non-Sporting,0,29.25,1.00,6.00,2.00,1,0.33,.00,0,5,0.06,.00,1,2,0,1,1,1,7,1,3,1.00,0.25
4203,Mixed Breed/Unknown,1,40.50,1.00,4.00,2.00,1,0.13,.00,0,5,0.15,.00,0,2,0,2,1,1,6,0,0,0.17,0.00
4204,Utility,0,45.00,1.00,1.65,1.00,0,0.00,.00,3,1,0.15,.00,0,0,0,2,1,1,3,0,1,0.33,0.00
4206,Working,0,17.10,.00,6.00,2.00,1,0.58,1.00,4,5,0.58,1.00,0,3,0,2,1,1,3,0,0,0.00,0.00
4208,Gundogs,1,27.00,1.00,5.00,2.00,1,2.00,3.00,1,0,0.19,.00,0,0,0,2,1,1,2,2,2,1.50,1.50
4209,Mixed Breed/Unknown,0,12.15,.00,0.65,1.00,1,0.58,1.00,1,3,0.10,.00,0,2,0,0,1,0,0,4,4,2.00,2.50
4210,Utility,1,40.50,1.00,3.00,1.00,1,0.15,.00,7,5,0.75,1.00,0,2,0,0,1,0,0,2,2,2.17,1.00
4211,Utility,0,9.00,.00,3.00,1.00,1,2.67,3.00,7,5,2.67,1.00,0,2,0,2,1,1,1,1,1,0.80,0.67
4215,Working,0,31.50,1.00,2.00,1.00,1,0.75,1.00,7,5,0.67,1.00,0,2,0,1,1,1,1,0,0,0.00,0.00
4216,Working,1,31.50,1.00,3.00,1.00,1,1.00,1.00,0,1,0.17,.00,0,2,0,1,1,1,3,0,1,0.33,0.25
4218,Mixed Breed/Unknown,0,22.50,1.00,6.00,2.00,1,0.75,1.00,7,5,1.00,1.00,1,2,1,4,1,1,6,1,0,0.17,0.25
4222,Mixed Breed/Unknown,1,18.00,.00,5.00,2.00,1,0.42,.00,4,5,0.23,.00,0,2,0,0,1,1,5,3,0,0.50,1.00
4229,Utility,1,29.25,1.00,9.02,2.00,1,0.50,.00,7,1,0.15,.00,1,3,1,4,1,1,6,0,0,0.33,0.00
4230,Gundogs,0,41.40,1.00,1.00,1.00,1,0.50,.00,4,1,0.27,.00,0,2,0,1,1,1,1,4,0,0.67,1.75
4231,Gundogs,0,44.10,1.00,8.02,2.00,1,2.00,3.00,5,2,0.31,.00,0,1,0,1,1,1,6,0,0,0.33,0.00
4236,Utility,1,30.60,1.00,5.02,2.00,1,0.46,.00,0,4,0.35,.00,0,3,0,2,0,1,1,0,4,1.50,0.33
4237,Utility,0,24.30,1.00,7.04,2.00,1,0.46,.00,0,4,0.31,.00,1,3,0,2,0,1,6,0,1,0.33,0.33
4238,Mixed Breed/Unknown,0,7.65,.00,2.00,1.00,1,0.19,.00,7,5,0.19,.00,0,3,0,0,1,1,1,2,2,1.00,1.50
4244,Utility,1,22.50,1.00,2.00,1.00,1,0.38,.00,0,5,2.00,1.00,0,2,1,4,1,0,0,1,0,0.60,0.67
4245,Mixed Breed/Unknown,0,17.55,.00,8.02,2.00,1,0.67,1.00,0,6,0.23,.00,0,2,0,0,1,1,6,1,0,0.50,1.00
4246,Mixed Breed/Unknown,0,12.60,.00,6.00,2.00,1,0.50,.00,0,5,1.50,1.00,0,2,0,0,1,1,1,1,0,0.00,0.50
4247,Mixed Breed/Unknown,0,18.00,.00,0.50,.00,1,0.38,.00,6,6,0.23,.00,0,2,1,4,1,0,0,1,2,1.60,#NULL!
4248,Mixed Breed/Unknown,0,26.10,1.00,0.83,1.00,1,0.42,.00,7,5,0.42,.00,0,2,0,0,1,1,1,2,4,2.80,1.25
4251,Working,0,29.25,1.00,8.02,2.00,1,6.50,3.00,5,1,0.13,.00,0,3,0,1,1,1,6,0,0,0.00,0.00
4252,Working,0,24.75,1.00,2.52,1.00,1,3.33,3.00,5,1,0.13,.00,0,0,0,1,1,1,1,0,1,0.17,0.00
4272,Terrier,1,14.40,.00,5.00,2.00,0,0.00,.00,3,0,0.02,.00,0,3,0,3,1,1,3,0,0,0.17,0.25
4278,Gundogs,0,31.50,1.00,0.65,1.00,1,0.50,.00,4,4,0.21,.00,0,2,0,1,1,1,1,0,0,0.17,0.25
4279,Working,1,18.00,.00,4.00,2.00,1,0.58,1.00,8,5,0.67,1.00,0,3,0,1,0,0,0,3,1,1.67,1.00
4282,Terrier,1,8.55,.00,12.02,2.00,1,0.17,.00,7,5,0.33,.00,1,2,1,4,0,0,0,4,2,1.50,1.00
4289,Mixed Breed/Unknown,0,22.50,1.00,4.10,2.00,1,0.15,.00,7,2,2.00,1.00,0,2,0,0,1,1,5,3,2,1.67,0.75
4292,Gundogs,1,18.00,.00,9.02,2.00,1,6.00,3.00,0,1,0.15,.00,0,0,0,1,1,1,6,1,0,0.17,1.25
4293,Gundogs,0,40.05,1.00,6.00,2.00,1,0.00,.00,7,5,6.00,2.00,0,2,0,0,1,0,0,2,1,#NULL!,1.00
4301,Non-Sporting,1,16.65,.00,2.19,1.00,1,3.08,3.00,0,0,0.00,.00,0,0,0,3,1,1,3,2,1,1.00,1.00
4304,Mixed Breed/Unknown,1,22.50,1.00,8.02,2.00,1,0.58,1.00,0,2,0.50,.00,1,2,0,0,1,0,0,2,2,0.67,2.00
4309,Mixed Breed/Unknown,1,13.50,.00,3.00,1.00,1,2.00,3.00,7,5,3.00,1.00,0,2,0,2,1,0,0,0,0,0.33,#NULL!
4314,Mixed Breed/Unknown,0,14.40,.00,8.02,2.00,1,0.25,.00,0,6,0.25,.00,0,3,0,1,1,0,0,1,1,0.33,1.00
4315,Working,0,20.25,.00,7.02,2.00,1,0.58,1.00,7,5,0.58,1.00,0,3,0,0,1,0,0,0,0,0.00,0.25
4316,Mixed Breed/Unknown,0,29.25,1.00,0.58,1.00,1,0.50,.00,0,1,0.15,.00,0,2,0,0,1,0,0,2,1,0.33,#NULL!
4317,Mixed Breed/Unknown,0,29.25,1.00,0.58,1.00,1,0.50,.00,6,1,0.15,.00,0,2,0,0,1,0,0,0,0,0.17,#NULL!
4319,Terrier,1,6.30,.00,4.50,2.00,0,0.00,.00,3,1,0.15,.00,0,3,0,2,1,1,3,1,0,0.17,0.25
4320,Gundogs,1,22.05,1.00,5.00,2.00,1,1.33,2.00,7,5,1.33,1.00,0,3,0,2,1,1,3,0,0,0.00,0.00
4321,Mixed Breed/Unknown,0,8.55,.00,3.00,1.00,1,3.00,3.00,3,5,3.00,1.00,0,2,0,1,1,0,0,0,0,0.40,0.50
4322,Mixed Breed/Unknown,0,31.50,1.00,12.02,2.00,1,0.92,1.00,7,5,4.00,2.00,1,2,0,0,1,0,0,3,0,1.40,3.00
4326,Working,0,33.75,1.00,5.00,2.00,1,0.92,1.00,7,5,1.00,1.00,0,2,0,0,1,1,6,2,1,0.67,0.75
4331,Hounds,1,12.60,.00,3.00,1.00,1,0.42,.00,0,1,0.13,.00,0,2,1,4,0,0,0,0,0,0.67,0.75
4332,Mixed Breed/Unknown,1,9.90,.00,2.50,1.00,1,0.33,.00,0,5,0.33,.00,0,2,0,0,1,1,5,2,1,0.83,1.00
4333,Utility,1,42.75,1.00,3.00,1.00,1,0.46,.00,5,1,0.17,.00,0,2,0,0,1,0,0,4,3,1.00,1.00
4334,Working,1,32.40,1.00,8.02,2.00,1,1.50,2.00,2,1,0.17,.00,1,3,0,0,1,0,0,0,0,1.00,0.00
4335,Working,1,18.00,.00,1.75,1.00,0,0.00,.00,3,3,0.58,1.00,0,4,0,3,1,1,1,2,3,1.50,#NULL!
4337,Gundogs,1,11.25,.00,10.02,2.00,1,1.50,2.00,5,5,1.50,1.00,0,2,0,2,1,1,6,2,1,0.17,0.75
4341,Utility,0,33.75,1.00,0.90,1.00,1,0.46,.00,0,5,0.46,.00,0,2,1,4,1,0,0,0,2,1.00,0.00
4349,Mixed Breed/Unknown,1,24.75,1.00,8.02,2.00,1,0.75,1.00,7,5,0.75,1.00,0,3,0,2,1,1,6,0,0,0.50,0.00
4350,Mixed Breed/Unknown,0,18.00,.00,8.02,2.00,1,3.00,3.00,7,5,3.00,1.00,0,2,0,2,1,1,1,0,2,1.50,0.00
4358,Gundogs,1,30.60,1.00,13.54,2.00,1,2.00,3.00,0,0,0.00,.00,1,2,0,0,1,0,0,2,1,1.20,1.50
4359,Mixed Breed/Unknown,0,45.00,1.00,8.02,2.00,1,0.50,.00,0,6,0.25,.00,0,3,0,0,1,1,6,0,0,0.50,0.00
4362,Hounds,0,11.25,.00,0.50,.00,1,0.50,.00,7,5,0.12,.00,0,2,0,0,1,1,5,0,0,#NULL!,0.00
4366,Working,1,13.50,.00,1.50,1.00,0,0.00,.00,3,2,1.00,1.00,0,2,0,0,1,0,0,0,1,1.00,1.00
4381,Mixed Breed/Unknown,0,29.25,1.00,1.50,1.00,1,0.25,.00,7,5,0.50,.00,0,2,0,0,1,1,1,1,4,2.40,0.33
4389,Gundogs,0,15.75,.00,8.52,2.00,0,0.00,.00,3,1,0.15,.00,0,0,0,0,1,1,3,1,0,0.00,0.75
4390,Gundogs,1,16.20,.00,5.00,2.00,0,0.00,.00,3,1,0.19,.00,0,3,0,1,1,1,3,0,0,0.83,0.25
4391,Gundogs,1,15.30,.00,1.25,1.00,0,0.00,.00,3,0,0.19,.00,0,0,0,1,1,1,1,0,0,0.20,0.25
4392,Gundogs,0,31.50,1.00,9.02,2.00,1,0.50,.00,0,1,0.31,.00,0,2,0,1,1,0,0,3,2,0.83,1.25
4393,Gundogs,1,18.00,.00,8.02,2.00,1,7.00,3.00,8,1,0.15,.00,0,0,0,2,1,1,1,0,0,0.00,0.50
4394,Gundogs,1,21.15,.00,1.00,1.00,1,0.67,1.00,0,1,0.15,.00,0,3,1,4,1,0,0,0,0,0.33,0.75
4395,Gundogs,0,31.50,1.00,3.00,1.00,0,0.00,.00,3,1,0.15,.00,0,3,0,1,0,1,3,3,1,0.33,1.00
4396,Gundogs,0,15.75,.00,0.98,1.00,1,1.50,2.00,1,1,0.19,.00,0,3,0,1,1,1,1,0,0,0.00,0.00
4397,Mixed Breed/Unknown,0,14.40,.00,6.00,2.00,1,4.00,3.00,8,5,4.00,2.00,0,2,0,1,1,1,6,4,2,1.17,3.00
4399,Working,0,11.70,.00,1.58,1.00,0,0.00,.00,3,1,0.58,1.00,0,0,0,3,1,1,1,0,1,0.67,0.00
4400,Non-Sporting,0,29.25,1.00,12.02,2.00,1,7.00,3.00,1,2,4.00,2.00,0,2,0,1,1,1,6,0,0,0.83,2.25
4401,Gundogs,0,18.00,.00,1.40,1.00,0,0.00,.00,3,1,0.33,.00,0,3,0,1,1,1,1,0,0,0.00,0.50
4403,Gundogs,1,16.20,.00,1.00,1.00,0,0.00,.00,3,1,0.17,.00,0,0,0,0,1,1,1,1,1,0.17,0.50
4404,Gundogs,0,27.00,1.00,6.00,2.00,0,0.00,.00,3,1,0.23,.00,0,2,1,4,0,1,6,4,2,2.50,2.50
4408,Mixed Breed/Unknown,1,9.90,.00,10.02,2.00,1,0.67,1.00,7,5,0.67,1.00,0,2,0,0,0,1,6,1,2,1.50,0.75
4409,Mixed Breed/Unknown,1,19.80,.00,8.02,2.00,1,4.00,3.00,7,5,4.00,2.00,0,3,0,0,0,1,3,3,2,0.50,1.50
4410,Working,0,19.35,.00,0.90,1.00,1,0.13,.00,7,5,0.17,.00,0,3,0,1,0,1,1,1,1,0.83,0.50
4411,Gundogs,0,20.25,.00,2.50,1.00,1,0.50,.00,7,1,0.15,.00,1,3,0,3,1,1,1,0,1,0.50,1.25
4412,Gundogs,1,30.15,1.00,11.02,2.00,1,5.00,3.00,5,1,0.13,.00,0,3,0,2,1,1,6,2,0,0.00,1.25
4416,Gundogs,1,15.75,.00,6.00,2.00,0,0.00,.00,3,0,0.00,.00,0,0,0,2,1,1,3,0,0,0.00,0.25
4417,Gundogs,0,20.25,.00,5.71,2.00,0,0.00,.00,3,0,0.00,.00,0,1,0,1,0,1,1,1,0,0.50,1.25
4418,Gundogs,1,20.25,.00,0.87,1.00,1,6.67,3.00,8,1,0.23,.00,0,4,0,1,0,1,6,0,0,0.83,0.75
4420,Gundogs,0,21.60,.00,3.00,1.00,1,1.17,2.00,2,1,0.17,.00,0,3,0,3,1,1,3,1,1,0.33,0.75
4424,Gundogs,1,15.75,.00,4.00,2.00,1,2.50,3.00,0,1,0.13,.00,0,4,0,3,1,1,1,0,1,1.67,0.25
4438,Gundogs,0,33.75,1.00,2.00,1.00,0,0.00,.00,3,1,0.15,.00,1,4,0,3,0,1,3,0,0,0.00,0.25
4457,Working,1,29.25,1.00,7.02,2.00,1,0.50,.00,0,3,0.13,.00,1,2,0,0,0,1,3,1,1,0.60,1.50
4470,Gundogs,0,22.50,1.00,6.00,2.00,0,0.00,.00,3,1,0.19,.00,0,0,0,1,1,1,6,0,0,0.17,0.00
4483,Working,0,36.00,1.00,9.02,2.00,0,0.00,.00,3,1,0.17,.00,1,0,0,1,1,1,6,0,0,0.00,0.00
4484,Gundogs,0,14.40,.00,9.06,2.00,1,0.58,1.00,0,4,0.50,.00,1,2,0,1,1,1,6,0,1,0.83,0.00
4486,Utility,0,22.50,1.00,6.04,2.00,1,1.00,1.00,8,1,2.00,1.00,1,3,0,1,1,1,3,2,2,0.50,0.50
4487,Utility,1,18.00,.00,5.04,2.00,1,0.50,.00,7,1,0.27,.00,0,3,0,1,1,1,1,0,2,0.83,1.00
4488,Working,1,31.50,1.00,11.02,2.00,1,9.00,3.00,0,0,0.00,.00,1,0,0,3,1,1,3,1,0,0.17,0.50
4489,Mixed Breed/Unknown,0,29.25,1.00,5.00,2.00,1,0.50,.00,6,3,1.00,1.00,0,2,0,3,1,1,4,0,0,0.00,0.75
4494,Working,1,18.00,.00,8.02,2.00,1,0.58,1.00,0,1,0.17,.00,0,3,0,2,1,1,6,1,0,0.17,0.75
4495,Working,0,21.60,.00,2.27,1.00,1,0.19,.00,7,5,0.23,.00,0,4,0,1,1,1,1,1,1,0.50,0.25
4496,Working,1,18.90,.00,3.58,2.00,1,1.83,3.00,1,1,0.15,.00,0,4,0,1,1,1,3,0,0,0.17,0.00
4498,Mixed Breed/Unknown,1,22.50,1.00,7.02,2.00,1,0.50,.00,0,5,0.08,.00,0,3,1,4,1,1,6,0,0,0.33,0.25
4499,Gundogs,0,13.50,.00,10.02,2.00,1,0.50,.00,0,1,0.23,.00,0,0,0,3,1,1,6,0,0,0.17,0.00
4500,Toys,1,4.50,.00,2.00,1.00,1,0.17,.00,7,5,2.00,1.00,0,2,0,3,1,1,1,2,1,1.00,0.50
4504,Utility,0,36.00,1.00,5.50,2.00,1,1.00,1.00,8,1,0.17,.00,0,2,0,1,1,1,1,2,2,1.83,1.25
4505,Utility,1,22.50,1.00,6.71,2.00,1,1.92,3.00,0,1,0.17,.00,0,3,0,0,1,1,6,1,1,0.83,0.75
4506,Gundogs,0,20.25,.00,7.02,2.00,1,1.33,2.00,7,1,0.15,.00,1,2,1,4,0,1,6,0,0,0.17,0.25
